SSN,last name,first name,address,city,state,zip
172321176,White,Johnson,10932 Bigge Rd,Menlo Park,CA,94025
514148905,Borden,Ashley,4469 Sherman Street,Goff,KS,66428
213468915,Green,Marjorie,309 63rd St. #411,Oakland,CA,94618
524027657,Munsch,Jerome,2183 Roy Alley,Centennial,CO,80112
489368350,Aragon,Robert,3181 White Oak Drive,Kansas City,MO,66215
514302668,Russell,Jacki,3097 Better Street,Kansas City,MO,66215
505885714,Venson,Lillian,539 Kyle Street,Wood River,NE,68883
690055315,Conley,Thomas,570 Nancy Street,Morrisville,NC,27560
646449061,Jackson,Charles,1074 Small Street,New York,NY,10011
100994666,Adam,Siwiec,123 Legacy Drive,Palm Beach,FL,34201
