SSN,last name,first name,address,city,state,zip
172-32-1176,White,Johnson,10932 Bigge Rd,Menlo Park,CA,94025
514-14-8905,Borden,Ashley,4469 Sherman Street,Goff,KS,66428
213-46-8915,Green,Marjorie,309 63rd St. #411,Oakland,CA,94618
524-02-7657,Munsch,Jerome,2183 Roy Alley,Centennial,CO,80112
489-36-8350,Aragon,Robert,3181 White Oak Drive,Kansas City,MO,66215
514-30-2668,Russell,Jacki,3097 Better Street,Kansas City,MO,66215
505-88-5714,Venson,Lillian,539 Kyle Street,Wood River,NE,68883
690-05-5315,Conley,Thomas,570 Nancy Street,Morrisville,NC,27560
646-44-9061,Jackson,Charles,1074 Small Street,New York,NY,10011
421-37-1396,Davis,Susan,4222 Bedford Street,Jasper,AL,35501
461-97-5660,Watson,Gail,3414 Gore Street,Houston,TX,77002
660-03-8360,Garrison,Lisa,515 Hillside Drive,Lake Charles,LA,70629
751-01-2327,Renfro,Julie,4032 Arron Smith Drive,Kaunakakai,HI,96748
559-81-1301,Heard,James,2865 Driftwood Road,San Jose,CA,95129
624-84-9181,Reyes,Danny,3500 Diane Street,San Luis Obispo,CA,93401
449-48-3135,Hall,Mark,4986 Chapel Street,Houston,TX,77077
477-36-0282,Mceachern,Monte,456 Oral Lake Road,Minneapolis,MN,55401
458-02-6124,Diaz,Christopher,582 Thrash Trail,Dallas,TX,75247
044-34-6954,Lowe,Tim,1620 Maxwell Street,East Hartford,CT,6108
587-03-2682,Oyola,Lynette,2489 O Conner Street,Pascagoula,MS,39567
421-90-3440,Morrison,Adriane,4696 Retreat Avenue,Birmingham,AL,35209
451-80-3526,Santos,Thomas,173 Lunetta Street,Fort Worth,TX,76104
300-62-3266,Faulkner,Victor,1843 Olive Street,Toledo,OH,43602
322-84-2281,Iorio,Albert,4899 University Hill Road,Springfield,IL,62701
465-73-5022,Kaminski,Teresa,1517 Gambler Lane,Houston,TX,77006
612-20-6832,Edwards,Rick,4254 Walkers Ridge Way,Gardena,CA,90248
687-05-8365,Peacock,Stacey,3396 Nancy Street,Raleigh,NC,27612
205-52-0027,Nelson,Agnes,4213 High Meadow Lane,Avoca,PA,18641
404-12-2154,Townsend,Mireille,2877 Glen Street,Paducah,KY,42003
151-32-2558,Zwick,Rebecca,784 Beechwood Avenue,Piscataway,NJ,8854
